cache_misses,cache_load,cache_miss_ratio(%),dTLB_misses,dTLB_load,dTLB_miss_ratio(%),runtime(ms)
2279.000000,50321.000000,4.53,14.000000,48390.000000,0.03,0.031000
2247.000000,50313.000000,4.47,15.000000,48414.000000,0.03,0.065000
2256.000000,50320.000000,4.48,19.000000,48418.000000,0.04,0.031000
2156.000000,48677.000000,4.43,14.000000,46869.000000,0.03,0.042000
2279.000000,50326.000000,4.53,20.000000,49921.000000,0.04,0.033000
2228.000000,50270.000000,4.43,15.000000,48391.000000,0.03,0.033000
2256.000000,50298.000000,4.49,17.000000,48377.000000,0.04,0.040000
2190.000000,48711.000000,4.50,25.000000,46875.000000,0.05,0.046000
2264.000000,50306.000000,4.50,24.000000,49922.000000,0.05,0.040000
2274.000000,48795.000000,4.66,32.000000,46887.000000,0.07,0.038000
2305.000000,50368.000000,4.58,23.000000,49932.000000,0.05,0.037000
2245.000000,50289.000000,4.46,16.000000,48394.000000,0.03,0.040000
2167.000000,48688.000000,4.45,16.000000,46871.000000,0.03,0.035000
2160.000000,48681.000000,4.44,14.000000,46864.000000,0.03,0.031000
2755.000000,50822.000000,5.42,281.000000,50182.000000,0.56,0.071000
2374.000000,48895.000000,4.86,87.000000,46926.000000,0.19,0.106000
2253.000000,50295.000000,4.48,14.000000,48379.000000,0.03,0.038000
2275.000000,50317.000000,4.52,19.000000,49916.000000,0.04,0.037000
2269.000000,50311.000000,4.51,18.000000,48383.000000,0.04,0.035000
2187.000000,48708.000000,4.49,17.000000,46867.000000,0.04,0.032000
2295.000000,50362.000000,4.56,20.000000,49941.000000,0.04,0.037000
2307.000000,50372.000000,4.58,23.000000,49943.000000,0.05,0.038000
2271.000000,50336.000000,4.51,28.000000,48427.000000,0.06,0.053000
2291.000000,50356.000000,4.55,15.000000,48415.000000,0.03,0.041000
2169.000000,48690.000000,4.45,16.000000,46871.000000,0.03,0.041000
2304.000000,50369.000000,4.57,28.000000,49948.000000,0.06,0.038000
2274.000000,50339.000000,4.52,22.000000,48420.000000,0.05,0.035000
2269.000000,50334.000000,4.51,19.000000,48413.000000,0.04,0.033000
2287.000000,50329.000000,4.54,16.000000,48392.000000,0.03,0.032000
2245.000000,50327.000000,4.46,14.000000,48419.000000,0.03,0.034000
2274.000000,48795.000000,4.66,36.000000,46895.000000,0.08,0.072000
2260.000000,50326.000000,4.49,16.000000,48416.000000,0.03,0.040000
2267.000000,50333.000000,4.50,16.000000,48416.000000,0.03,0.035000
2244.000000,50286.000000,4.46,15.000000,48391.000000,0.03,0.049000
2307.000000,50345.000000,4.58,21.000000,49911.000000,0.04,0.037000
2264.000000,50330.000000,4.50,19.000000,49940.000000,0.04,0.034000
2179.000000,48700.000000,4.47,14.000000,46869.000000,0.03,0.062000
2363.000000,50405.000000,4.69,63.000000,48439.000000,0.13,0.046000
2206.000000,48727.000000,4.53,29.000000,46884.000000,0.06,0.054000
2196.000000,48717.000000,4.51,14.000000,46869.000000,0.03,0.042000
2189.000000,48710.000000,4.49,14.000000,46869.000000,0.03,0.035000
2217.000000,48738.000000,4.55,13.000000,46868.000000,0.03,0.034000
2183.000000,48704.000000,4.48,19.000000,46873.000000,0.04,0.040000
2271.000000,50337.000000,4.51,18.000000,49934.000000,0.04,0.045000
2244.000000,48765.000000,4.60,17.000000,46871.000000,0.04,0.139000
2304.000000,50370.000000,4.57,21.000000,48405.000000,0.04,0.051000
2354.000000,50392.000000,4.67,18.000000,49909.000000,0.04,0.045000
2337.000000,50379.000000,4.64,29.000000,48400.000000,0.06,0.045000
2271.000000,50313.000000,4.51,17.000000,48394.000000,0.04,0.043000
2364.000000,50428.000000,4.69,53.000000,49956.000000,0.11,0.044000
2407.000000,50473.000000,4.77,81.000000,50002.000000,0.16,0.054000
2548.000000,49069.000000,5.19,145.000000,46984.000000,0.31,0.083000
2702.000000,50768.000000,5.32,179.000000,48552.000000,0.37,0.076000
2641.000000,50679.000000,5.21,181.000000,48535.000000,0.37,0.118000
2473.000000,48994.000000,5.05,128.000000,46967.000000,0.27,0.073000
3023.000000,51089.000000,5.92,326.000000,48697.000000,0.67,0.121000
3080.000000,51142.000000,6.02,337.000000,50250.000000,0.67,0.130000
2936.000000,51002.000000,5.76,299.000000,50219.000000,0.60,0.122000
2390.000000,48911.000000,4.89,138.000000,46991.000000,0.29,0.058000
4667.000000,52731.000000,8.85,1442.000000,49817.000000,2.89,0.116000
2572.000000,50635.000000,5.08,202.000000,48599.000000,0.42,0.061000
2878.000000,50943.000000,5.65,253.000000,50154.000000,0.50,0.141000
3155.000000,51197.000000,6.16,335.000000,48689.000000,0.69,0.140000
2966.000000,51006.000000,5.82,288.000000,48648.000000,0.59,0.137000
2787.000000,50852.000000,5.48,161.000000,50053.000000,0.32,0.123000
2464.000000,50506.000000,4.88,135.000000,48505.000000,0.28,0.071000
2540.000000,50582.000000,5.02,56.000000,48405.000000,0.12,0.084000
2452.000000,50516.000000,4.85,104.000000,48501.000000,0.21,0.083000
3213.000000,51277.000000,6.27,342.000000,50265.000000,0.68,0.135000
2742.000000,50786.000000,5.40,196.000000,48544.000000,0.40,0.132000
2363.000000,48884.000000,4.83,114.000000,46969.000000,0.24,0.063000
2621.000000,50663.000000,5.17,92.000000,49978.000000,0.18,0.105000
2461.000000,50527.000000,4.87,113.000000,50010.000000,0.23,0.083000
2581.000000,50645.000000,5.10,104.000000,48478.000000,0.21,0.189000
2491.000000,50529.000000,4.93,74.000000,48427.000000,0.15,0.133000
2313.000000,50379.000000,4.59,17.000000,48416.000000,0.04,0.048000
2328.000000,50395.000000,4.62,24.000000,48425.000000,0.05,0.050000
2347.000000,50413.000000,4.66,19.000000,48423.000000,0.04,0.050000
2907.000000,50972.000000,5.70,258.000000,48641.000000,0.53,0.132000
2496.000000,49013.000000,5.09,77.000000,46905.000000,0.16,0.094000
2284.000000,48805.000000,4.68,69.000000,46924.000000,0.15,0.052000
2285.000000,50327.000000,4.54,30.000000,48401.000000,0.06,0.050000
2310.000000,50352.000000,4.59,30.000000,48406.000000,0.06,0.049000
2789.000000,50854.000000,5.48,196.000000,50105.000000,0.39,0.129000
2596.000000,50663.000000,5.12,230.000000,50151.000000,0.46,0.068000
2465.000000,50531.000000,4.88,100.000000,50020.000000,0.20,0.058000
2854.000000,49375.000000,5.78,316.000000,47162.000000,0.67,0.129000
2442.000000,50480.000000,4.84,117.000000,48492.000000,0.24,0.058000
2785.000000,50823.000000,5.48,261.000000,48621.000000,0.54,0.117000
3654.000000,51720.000000,7.06,738.000000,50662.000000,1.46,0.174000
2615.000000,50680.000000,5.16,309.000000,50229.000000,0.62,0.068000
2783.000000,50849.000000,5.47,116.000000,48493.000000,0.24,0.110000
2925.000000,50967.000000,5.74,218.000000,48583.000000,0.45,0.117000
2414.000000,48935.000000,4.93,149.000000,47003.000000,0.32,0.061000
2512.000000,50554.000000,4.97,157.000000,48533.000000,0.32,0.120000
2480.000000,50547.000000,4.91,103.000000,50010.000000,0.21,0.050000
2359.000000,50423.000000,4.68,51.000000,49969.000000,0.10,0.048000
2434.000000,48955.000000,4.97,155.000000,47011.000000,0.33,0.073000
2404.000000,50446.000000,4.77,72.000000,48447.000000,0.15,0.069000
2397.000000,50478.000000,4.75,65.000000,50004.000000,0.13,0.043000
2334.000000,50383.000000,4.63,37.000000,48409.000000,0.08,0.038000
2370.000000,50435.000000,4.70,59.000000,49979.000000,0.12,0.041000
2378.000000,50444.000000,4.71,58.000000,49973.000000,0.12,0.039000
2395.000000,50438.000000,4.75,31.000000,48408.000000,0.06,0.037000
2795.000000,50833.000000,5.50,279.000000,48650.000000,0.57,0.082000
2279.000000,48800.000000,4.67,56.000000,46909.000000,0.12,0.048000
2394.000000,50460.000000,4.74,63.000000,49968.000000,0.13,0.043000
2614.000000,50680.000000,5.16,256.000000,50177.000000,0.51,0.058000
2447.000000,50513.000000,4.84,94.000000,50015.000000,0.19,0.048000
2432.000000,50496.000000,4.82,87.000000,50005.000000,0.17,0.045000
2552.000000,50594.000000,5.04,216.000000,48592.000000,0.44,0.060000
2389.000000,50431.000000,4.74,65.000000,49961.000000,0.13,0.047000
2375.000000,50417.000000,4.71,77.000000,48448.000000,0.16,0.045000
2341.000000,50383.000000,4.65,49.000000,48424.000000,0.10,0.040000
2374.000000,50416.000000,4.71,64.000000,48440.000000,0.13,0.040000
2353.000000,50417.000000,4.67,41.000000,49949.000000,0.08,0.039000
2267.000000,48788.000000,4.65,55.000000,46897.000000,0.12,0.049000
2546.000000,50588.000000,5.03,205.000000,50101.000000,0.41,0.066000
2446.000000,50510.000000,4.84,71.000000,48464.000000,0.15,0.060000
2320.000000,50386.000000,4.60,31.000000,48432.000000,0.06,0.054000
2484.000000,50548.000000,4.91,129.000000,50047.000000,0.26,0.049000
2428.000000,50470.000000,4.81,57.000000,48422.000000,0.12,0.042000
2272.000000,48793.000000,4.66,58.000000,46913.000000,0.12,0.041000
2368.000000,48889.000000,4.84,61.000000,46907.000000,0.13,0.066000
2561.000000,50626.000000,5.06,164.000000,48557.000000,0.34,0.059000
2391.000000,50458.000000,4.74,61.000000,49978.000000,0.12,0.050000
2367.000000,50433.000000,4.69,59.000000,49953.000000,0.12,0.045000
2297.000000,48818.000000,4.71,59.000000,46909.000000,0.13,0.041000
2375.000000,50439.000000,4.71,55.000000,49974.000000,0.11,0.042000
2267.000000,48788.000000,4.65,42.000000,46884.000000,0.09,0.038000
2466.000000,50530.000000,4.88,75.000000,48474.000000,0.15,0.053000
2271.000000,48792.000000,4.65,45.000000,46884.000000,0.10,0.042000
2413.000000,50479.000000,4.78,70.000000,49985.000000,0.14,0.043000
2441.000000,50506.000000,4.83,26.000000,49946.000000,0.05,0.048000
2318.000000,50384.000000,4.60,19.000000,48419.000000,0.04,0.041000
2198.000000,48719.000000,4.51,21.000000,46877.000000,0.04,0.043000
2651.000000,49172.000000,5.39,357.000000,47212.000000,0.76,0.061000
2336.000000,50401.000000,4.63,34.000000,49945.000000,0.07,0.048000
2330.000000,50372.000000,4.63,31.000000,48396.000000,0.06,0.052000
2452.000000,50519.000000,4.85,78.000000,49999.000000,0.16,0.056000
2338.000000,50405.000000,4.64,34.000000,49956.000000,0.07,0.042000
2240.000000,48761.000000,4.59,36.000000,46891.000000,0.08,0.041000
2337.000000,50379.000000,4.64,51.000000,48426.000000,0.11,0.045000
2335.000000,50400.000000,4.63,37.000000,49941.000000,0.07,0.049000
2340.000000,50382.000000,4.64,42.000000,48407.000000,0.09,0.048000
2400.000000,50464.000000,4.76,37.000000,48436.000000,0.08,0.042000
2337.000000,50403.000000,4.64,36.000000,48431.000000,0.07,0.043000
2274.000000,48795.000000,4.66,32.000000,46888.000000,0.07,0.049000
2378.000000,50442.000000,4.71,48.000000,49968.000000,0.10,0.041000
2474.000000,50540.000000,4.90,79.000000,48468.000000,0.16,0.052000
2430.000000,50494.000000,4.81,79.000000,49996.000000,0.16,0.055000
2249.000000,48770.000000,4.61,31.000000,46886.000000,0.07,0.047000
2372.000000,50438.000000,4.70,51.000000,48450.000000,0.11,0.044000
2397.000000,50462.000000,4.75,35.000000,48434.000000,0.07,0.048000
